page,edit_id,timestamp,summary
page,edit_id,timestamp,summary
[[en:Slap Shot (film)]],827217840,2018-02-23T13:09:36Z,Undid revision 827174891 by [[Special:Contributions/Smconboy|Smconboy]] ([[User talk:Smconboy|talk]]) unsourced
[[en:Paper Orchid]],827099362,2018-02-22T19:35:16Z,grammar
[[en:Juan Carlos Sarnari]],827097761,2018-02-22T19:24:17Z,comma
[[en:Juan Carlos Sarnari]],827097718,2018-02-22T19:23:58Z,typo
[[en:Juan Carlos Sarnari]],827097620,2018-02-22T19:23:20Z,"grammar, adjusted wikilink"
[[en:Juan Carlos Sarnari]],827097548,2018-02-22T19:22:51Z,brevity
[[en:Six Flags Great Adventure]],827097100,2018-02-22T19:19:45Z,not significant enough for the lead
[[en:Six Flags Great Adventure]],827096812,2018-02-22T19:17:43Z,Undid revision 826996868 by [[Special:Contributions/2601:84:4500:55B1:99F8:82CD:54BF:B23E]] per [[WP:CRYSTAL]]. Ride not open yet.
[[en:Talk:Jared Taylor]],827096457,2018-02-22T19:15:30Z,/* White nationalist removed from lede */
[[en:Talk:Jared Taylor]],826986753,2018-02-22T02:58:40Z,/* White nationalist removed from lede */
[[en:German minority in Poland]],826986229,2018-02-22T02:55:54Z,"/* History of Germans in Poland */ unsourced, can't find any verification of this anywhere"
[[en:Tołkiny]],826808279,2018-02-21T03:12:07Z,"Undid revision 826606803 by [[Special:Contributions/Jheath92|Jheath92]] ([[User talk:Jheath92|talk]]) interesting, but unsourced"
[[en:Helmet (band)]],826807958,2018-02-21T03:09:25Z,"Undid revision 826071893 by [[Special:Contributions/72.92.37.130|72.92.37.130]] ([[User talk:72.92.37.130|talk]]) this is a joke, right?"
[[en:Jared Taylor]],826807158,2018-02-21T03:02:52Z,"per Greyfell's point that this is both redundant and a euphemism, removed it"
[[en:Billy Mitchell (video game player)]],826806582,2018-02-21T02:58:11Z,Undid revision 826797164 by [[Special:Contributions/2001:569:7CB9:9300:2877:B459:DD9C:2215]] revert vandalism
[[en:Talk:Corey Stewart (politician)]],826066745,2018-02-17T00:29:25Z,/* Edits to immigration section */ edit
[[en:User talk:Rockypedia]],826066315,2018-02-17T00:26:00Z,"this is all doubled on the Corey Stewart talk page, one place is enough"
[[en:Corey Stewart (politician)]],826066173,2018-02-17T00:24:52Z,/* Immigration */ added author's name to one reference
[[en:Corey Stewart (politician)]],826065493,2018-02-17T00:20:08Z,/* Immigration */ fixed refs
[[en:Corey Stewart (politician)]],826065289,2018-02-17T00:18:33Z,/* Immigration */ re-added acceptable material
[[en:Talk:Corey Stewart (politician)]],826065025,2018-02-17T00:16:26Z,/* Edits to immigration section */
[[en:Corey Stewart (politician)]],826063984,2018-02-17T00:08:19Z,"policy is to discuss first, then make changes after consensus is reached. Discussion hasn't even started yet"
[[en:Corey Stewart (politician)]],825919951,2018-02-16T04:22:57Z,"revert POV edits by anon IP, see talk page for discussion on Stewart campaign previously editing this page"
[[en:Talk:Corey Stewart (politician)]],825919816,2018-02-16T04:22:01Z,/* Recent anon IP edits */
"[[en:A Barrel of Laughs, a Vale of Tears]]",825645586,2018-02-14T15:42:03Z,"Plot trimmed, removed issue template"
"[[en:A Barrel of Laughs, a Vale of Tears]]",825645527,2018-02-14T15:41:41Z,"premise/plot summary are redundant, edited merged and renamed the section synopsis"
