page,edit_id,timestamp,summary
[[en:Uma Thurman]],797555658,2017-08-27T20:40:54Z,/* Relationships */ oh for fuck's fucking sake....
[[en:Uma Thurman]],797555494,2017-08-27T20:39:32Z,/* Relationships */ poorly sourced and probably not worth mentioning
[[en:Uma Thurman]],797555365,2017-08-27T20:38:27Z,/* Relationships */ gossip
[[en:Uma Thurman]],797555312,2017-08-27T20:37:53Z,/* Relationships */ unimportant
[[en:Uma Thurman]],797555249,2017-08-27T20:37:19Z,"/* Relationships */ poor sources, too much irrelevant information"
[[en:David Easter]],797552344,2017-08-27T20:14:27Z,"/* Personal life */ cut poorly sourced/uncited information, add source"
[[en:Marcus Fysh]],797551830,2017-08-27T20:10:17Z,"tag, remove some uncited/poorly sourced material"
[[en:Edele Lynch]],797551447,2017-08-27T20:07:04Z,tag
[[en:Edele Lynch]],797551408,2017-08-27T20:06:43Z,"/* Personal life */ irrelevant, poorly sourced, too much detail, and some uncited"
[[en:Laura O'Toole]],797551173,2017-08-27T20:04:59Z,tag
[[en:Laura O'Toole]],797551133,2017-08-27T20:04:36Z,/* Personal life */ of little importance and poorly sourced
[[en:User talk:Tenebrae]],797548960,2017-08-27T19:47:28Z,/* Query */ reply
[[en:User talk:Tenebrae]],797547648,2017-08-27T19:35:40Z,"/* Query */ easy now, tiger"
[[en:Wikipedia:Administrators' noticeboard/Incidents]],797404678,2017-08-26T21:19:51Z,/* Motion to close */ finally some sense
[[en:User talk:Hillbillyholiday]],797393108,2017-08-26T19:51:53Z,/* The day the music died */ reply
[[en:User talk:Hillbillyholiday]],797375986,2017-08-26T17:38:59Z,Something touched me deep inside / [[The Day the Music Died|The day the music died]]
[[en:User talk:Flyer22 Reborn]],797359102,2017-08-26T15:18:40Z,Please do take the time to read this [[WP:ASPERSIONS|Arbcom-endorsed policy]]
[[en:User talk:Flyer22 Reborn]],797358709,2017-08-26T15:14:58Z,"[[Wikipedia:Arbitration/Requests/Case/Mattisse#Casting_aspersions|""Legitimate concerns of fellow editors' conduct should be raised either directly with the editor in question [...] or if necessary on an appropriate noticeboard or dispute-resolution page."""
[[en:User talk:Hillbillyholiday]],797357134,2017-08-26T15:00:57Z,Smeg off
[[en:User:Hillbillyholiday]],797350310,2017-08-26T13:57:59Z,The Gentle Genius
[[en:User talk:Hillbillyholiday]],797350077,2017-08-26T13:55:52Z,two-minutes hat
[[en:Wikipedia talk:WikiProject Women in Red]],797335903,2017-08-26T11:40:30Z,/* Norma Stitz */ relisted
[[en:Wikipedia:Deletion review/Log/2017 August 23]],797335788,2017-08-26T11:39:35Z,sign
[[en:Wikipedia:Deletion review/Log/2017 August 23]],797335768,2017-08-26T11:39:19Z,relisted
[[en:Wikipedia:Articles for deletion/Norma Stitz (3rd nomination)]],797335549,2017-08-26T11:36:52Z,Creating deletion discussion for [[Norma Stitz]]
[[en:Norma Stitz]],797335496,2017-08-26T11:36:16Z,AfD: Nominated for deletion; see [[Wikipedia:Articles for deletion/Norma Stitz (3rd nomination)]].
[[en:User talk:Hillbillyholiday]],797038876,2017-08-24T15:46:53Z,/* August 2017 */ shitgibbons
[[en:Wikipedia:Administrators' noticeboard/Incidents]],796948804,2017-08-24T01:31:44Z,/* Proposed site ban */ you can see what I'm dealing with here
[[en:Wikipedia:Administrators' noticeboard/Incidents]],796943552,2017-08-24T00:47:02Z,/* Proposed site ban */ beggars belief
[[en:Wikipedia:Requests for page protection]],796939779,2017-08-24T00:12:18Z,/* Michael Michael */ go for it
[[en:Wikipedia:Requests for page protection]],796936183,2017-08-23T23:35:25Z,/* Michael Michael */ no
[[en:User talk:Hillbillyholiday]],796935957,2017-08-23T23:33:02Z,or this even
[[en:User talk:Hillbillyholiday]],796932112,2017-08-23T22:54:32Z,[[Sound of Joy]]
[[en:Sarah Harding]],796931903,2017-08-23T22:52:25Z,Reverted edits by [[Special:Contribs/86.184.116.209|86.184.116.209]] ([[User talk:86.184.116.209|talk]]) to last version by Hillbillyholiday
[[en:Wikipedia:Administrators' noticeboard/Incidents]],796930266,2017-08-23T22:36:24Z,/* Mass deletions and edit warring across celebrity articles by Hillbillyholiday */ comment
[[en:Wikipedia:Administrators' noticeboard/Edit warring]],796929377,2017-08-23T22:28:27Z,/* User:Hillbillyholiday reported by User:AlexEng (Result: ) */ ANY sense?
[[en:Wikipedia:Administrators' noticeboard/Incidents]],796928515,2017-08-23T22:20:53Z,/* Mass deletions and edit warring across celebrity articles by Hillbillyholiday */ it gets better...
[[en:Wikipedia:Administrators' noticeboard/Edit warring]],796927709,2017-08-23T22:13:48Z,comment
[[en:Wikipedia:Requests for page protection]],796926483,2017-08-23T22:01:35Z,/* Michael Michael */ re
[[en:User talk:Hillbillyholiday]],796925995,2017-08-23T21:57:25Z,besmircher
